age,structure_name,gene,rpkm
3 yrs,orbital frontal cortex,ETFB,52.638102
3 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,53.852484
3 yrs,"primary motor cortex (area M1, area 4)",ETFB,64.744059
3 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,65.577721
3 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,69.682992
3 yrs,posteroventral (inferior) parietal cortex,ETFB,62.106939
3 yrs,primary auditory cortex (core),ETFB,61.980569
3 yrs,cerebellar cortex,ETFB,21.005871
3 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,41.31064
3 yrs,amygdaloid complex,ETFB,58.793059
3 yrs,ventrolateral prefrontal cortex,ETFB,65.349283
3 yrs,dorsolateral prefrontal cortex,ETFB,38.46953
3 yrs,hippocampus (hippocampal formation),ETFB,47.453467
3 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,52.005284
4 yrs,amygdaloid complex,ETFB,69.852191
4 yrs,striatum,ETFB,79.059003
4 yrs,ventrolateral prefrontal cortex,ETFB,43.543684
4 yrs,dorsolateral prefrontal cortex,ETFB,53.16081
4 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,59.692307
4 yrs,cerebellar cortex,ETFB,35.223223
4 yrs,mediodorsal nucleus of thalamus,ETFB,66.76515
8 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,42.409038
8 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,33.360551
8 yrs,posteroventral (inferior) parietal cortex,ETFB,43.860818
8 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,32.193168
8 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,36.445784
8 yrs,mediodorsal nucleus of thalamus,ETFB,43.861794
8 yrs,ventrolateral prefrontal cortex,ETFB,36.65077
8 yrs,hippocampus (hippocampal formation),ETFB,28.710204
8 yrs,amygdaloid complex,ETFB,35.284517
8 yrs,"primary motor cortex (area M1, area 4)",ETFB,30.482703
8 yrs,cerebellar cortex,ETFB,33.750034
8 yrs,dorsolateral prefrontal cortex,ETFB,37.229507
8 yrs,striatum,ETFB,52.14787
8 yrs,primary auditory cortex (core),ETFB,36.376854
8 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,57.564677
8 yrs,orbital frontal cortex,ETFB,40.034024
8 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,36.732303
8 yrs,cerebellar cortex,ETFB,32.214276
8 yrs,primary auditory cortex (core),ETFB,41.034186
8 yrs,ventrolateral prefrontal cortex,ETFB,57.987094
8 yrs,hippocampus (hippocampal formation),ETFB,57.127853
8 yrs,amygdaloid complex,ETFB,71.724695
8 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,35.118593
8 yrs,posteroventral (inferior) parietal cortex,ETFB,62.245305
8 yrs,dorsolateral prefrontal cortex,ETFB,34.180654
8 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,37.975122
8 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,27.492489
11 yrs,ventrolateral prefrontal cortex,ETFB,49.866484
11 yrs,posteroventral (inferior) parietal cortex,ETFB,37.108333
11 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,61.034646
11 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,75.801455
11 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,37.523534
11 yrs,dorsolateral prefrontal cortex,ETFB,46.260665
11 yrs,amygdaloid complex,ETFB,29.028843
11 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,28.704881
11 yrs,cerebellar cortex,ETFB,14.137258
11 yrs,primary auditory cortex (core),ETFB,21.037262
11 yrs,hippocampus (hippocampal formation),ETFB,74.309415
11 yrs,"primary motor cortex (area M1, area 4)",ETFB,49.183707
11 yrs,orbital frontal cortex,ETFB,39.429871
11 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,36.874089
13 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,36.394998
13 yrs,posteroventral (inferior) parietal cortex,ETFB,39.920734
13 yrs,ventrolateral prefrontal cortex,ETFB,26.055488
13 yrs,primary auditory cortex (core),ETFB,25.069362
13 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,31.076825
13 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,37.594415
13 yrs,cerebellar cortex,ETFB,20.75216
13 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,34.715699
13 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,37.897273
13 yrs,dorsolateral prefrontal cortex,ETFB,30.39338
13 yrs,orbital frontal cortex,ETFB,35.402356
13 yrs,mediodorsal nucleus of thalamus,ETFB,81.923304
13 yrs,amygdaloid complex,ETFB,38.335671
13 yrs,"primary motor cortex (area M1, area 4)",ETFB,32.810179
13 yrs,hippocampus (hippocampal formation),ETFB,48.500918
13 yrs,striatum,ETFB,55.29228
15 yrs,posteroventral (inferior) parietal cortex,ETFB,19.838303
15 yrs,cerebellar cortex,ETFB,18.926742
15 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,17.053323
15 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,19.996845
15 yrs,amygdaloid complex,ETFB,24.940225
18 yrs,hippocampus (hippocampal formation),ETFB,56.056389
18 yrs,"primary motor cortex (area M1, area 4)",ETFB,62.371887
18 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,56.211289
18 yrs,primary auditory cortex (core),ETFB,59.527648
18 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,61.062403
18 yrs,ventrolateral prefrontal cortex,ETFB,66.963179
18 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,59.848944
18 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,58.421828
18 yrs,dorsolateral prefrontal cortex,ETFB,42.768709
18 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,67.950154
18 yrs,posteroventral (inferior) parietal cortex,ETFB,64.663861
18 yrs,orbital frontal cortex,ETFB,71.103452
18 yrs,cerebellar cortex,ETFB,37.431086
19 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,30.329925
19 yrs,cerebellar cortex,ETFB,25.888199
19 yrs,dorsolateral prefrontal cortex,ETFB,30.146011
19 yrs,amygdaloid complex,ETFB,57.592977
19 yrs,orbital frontal cortex,ETFB,29.594287
19 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,47.191197
19 yrs,striatum,ETFB,34.813911
19 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,24.693394
19 yrs,"primary motor cortex (area M1, area 4)",ETFB,33.788577
19 yrs,hippocampus (hippocampal formation),ETFB,38.109583
19 yrs,primary auditory cortex (core),ETFB,21.251897
19 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,27.074586
19 yrs,posteroventral (inferior) parietal cortex,ETFB,22.638546
19 yrs,ventrolateral prefrontal cortex,ETFB,43.047975
19 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,26.236353
19 yrs,mediodorsal nucleus of thalamus,ETFB,45.958944
21 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,45.668504
21 yrs,"primary motor cortex (area M1, area 4)",ETFB,30.261967
21 yrs,primary auditory cortex (core),ETFB,25.576632
21 yrs,dorsolateral prefrontal cortex,ETFB,30.290084
21 yrs,amygdaloid complex,ETFB,37.930214
21 yrs,mediodorsal nucleus of thalamus,ETFB,40.89619
21 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,20.902009
21 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,28.565305
21 yrs,ventrolateral prefrontal cortex,ETFB,24.710178
21 yrs,cerebellar cortex,ETFB,14.485412
21 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,22.806831
21 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,31.023122
21 yrs,posteroventral (inferior) parietal cortex,ETFB,24.856866
21 yrs,hippocampus (hippocampal formation),ETFB,44.727702
21 yrs,striatum,ETFB,77.455221
21 yrs,orbital frontal cortex,ETFB,33.690791
23 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,53.594785
23 yrs,amygdaloid complex,ETFB,50.51065
23 yrs,orbital frontal cortex,ETFB,50.202955
23 yrs,mediodorsal nucleus of thalamus,ETFB,66.689124
23 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,48.207672
23 yrs,ventrolateral prefrontal cortex,ETFB,51.000206
23 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,44.980664
23 yrs,"primary motor cortex (area M1, area 4)",ETFB,55.983591
23 yrs,hippocampus (hippocampal formation),ETFB,55.569979
23 yrs,cerebellar cortex,ETFB,36.94132
23 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,44.103163
23 yrs,primary auditory cortex (core),ETFB,43.882108
23 yrs,posteroventral (inferior) parietal cortex,ETFB,37.518875
23 yrs,striatum,ETFB,66.815652
30 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,41.6463
30 yrs,striatum,ETFB,67.285322
30 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,41.273606
30 yrs,orbital frontal cortex,ETFB,48.368355
30 yrs,posteroventral (inferior) parietal cortex,ETFB,41.073895
30 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,37.51354
30 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,36.629569
30 yrs,mediodorsal nucleus of thalamus,ETFB,71.925453
30 yrs,hippocampus (hippocampal formation),ETFB,57.301977
30 yrs,primary auditory cortex (core),ETFB,53.646826
30 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,30.461609
30 yrs,dorsolateral prefrontal cortex,ETFB,27.277552
30 yrs,amygdaloid complex,ETFB,36.486323
30 yrs,"primary motor cortex (area M1, area 4)",ETFB,43.006096
30 yrs,ventrolateral prefrontal cortex,ETFB,51.137021
30 yrs,cerebellar cortex,ETFB,28.067282
36 yrs,"primary motor cortex (area M1, area 4)",ETFB,28.14364
36 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,27.818463
36 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,20.77531
36 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,37.466922
36 yrs,posteroventral (inferior) parietal cortex,ETFB,19.483707
36 yrs,amygdaloid complex,ETFB,49.328134
36 yrs,orbital frontal cortex,ETFB,14.932315
36 yrs,ventrolateral prefrontal cortex,ETFB,17.017748
36 yrs,dorsolateral prefrontal cortex,ETFB,18.019921
36 yrs,primary auditory cortex (core),ETFB,21.949134
36 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,19.96108
36 yrs,cerebellar cortex,ETFB,20.726603
36 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,15.713741
36 yrs,hippocampus (hippocampal formation),ETFB,40.213837
36 yrs,striatum,ETFB,44.91983
36 yrs,mediodorsal nucleus of thalamus,ETFB,66.291512
37 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,24.864682
37 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,20.507723
37 yrs,cerebellar cortex,ETFB,33.472485
37 yrs,hippocampus (hippocampal formation),ETFB,16.885642
37 yrs,posteroventral (inferior) parietal cortex,ETFB,26.64762
37 yrs,mediodorsal nucleus of thalamus,ETFB,47.196398
37 yrs,dorsolateral prefrontal cortex,ETFB,12.25371
37 yrs,ventrolateral prefrontal cortex,ETFB,17.533469
37 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,11.798291
37 yrs,primary auditory cortex (core),ETFB,17.589058
37 yrs,"primary motor cortex (area M1, area 4)",ETFB,21.005142
37 yrs,orbital frontal cortex,ETFB,23.411652
37 yrs,striatum,ETFB,31.762585
37 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,28.716591
37 yrs,amygdaloid complex,ETFB,20.1435
37 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,ETFB,6.088406
40 yrs,dorsolateral prefrontal cortex,ETFB,58.94733
40 yrs,"inferolateral temporal cortex (area TEv, area 20)",ETFB,43.072732
40 yrs,ventrolateral prefrontal cortex,ETFB,32.351473
40 yrs,mediodorsal nucleus of thalamus,ETFB,62.739921
40 yrs,amygdaloid complex,ETFB,60.8119
40 yrs,primary auditory cortex (core),ETFB,60.579059
40 yrs,cerebellar cortex,ETFB,40.606003
40 yrs,"primary visual cortex (striate cortex, area V1/17)",ETFB,28.015515
40 yrs,orbital frontal cortex,ETFB,31.265678
40 yrs,posterior (caudal) superior temporal cortex (area 22c),ETFB,30.225083
40 yrs,posteroventral (inferior) parietal cortex,ETFB,25.897452
40 yrs,"primary motor cortex (area M1, area 4)",ETFB,69.785753
40 yrs,hippocampus (hippocampal formation),ETFB,65.020732
40 yrs,striatum,ETFB,71.362209
40 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",ETFB,59.567171
8 pcw,occipital neocortex,SUV420H1,12.492529
8 pcw,primary motor-sensory cortex (samples),SUV420H1,15.464103
8 pcw,amygdaloid complex,SUV420H1,16.73142
8 pcw,medial ganglionic eminence,SUV420H1,13.221872
8 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,17.034493
8 pcw,upper (rostral) rhombic lip,SUV420H1,18.271931
8 pcw,caudal ganglionic eminence,SUV420H1,14.364219
8 pcw,dorsal thalamus,SUV420H1,14.373769
8 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,12.389018
8 pcw,dorsolateral prefrontal cortex,SUV420H1,11.53222
8 pcw,orbital frontal cortex,SUV420H1,11.089939
8 pcw,lateral ganglionic eminence,SUV420H1,15.63417
8 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,18.064342
8 pcw,hippocampus (hippocampal formation),SUV420H1,13.16905
8 pcw,ventrolateral prefrontal cortex,SUV420H1,14.413173
8 pcw,parietal neocortex,SUV420H1,13.796369
9 pcw,dorsolateral prefrontal cortex,SUV420H1,10.165443
9 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,9.537277
9 pcw,amygdaloid complex,SUV420H1,12.364007
9 pcw,dorsal thalamus,SUV420H1,12.806835
9 pcw,upper (rostral) rhombic lip,SUV420H1,15.089842
9 pcw,lateral ganglionic eminence,SUV420H1,9.611426
9 pcw,primary motor-sensory cortex (samples),SUV420H1,8.899802
9 pcw,medial ganglionic eminence,SUV420H1,10.425243
9 pcw,temporal neocortex,SUV420H1,16.514085
9 pcw,hippocampus (hippocampal formation),SUV420H1,10.039169
9 pcw,occipital neocortex,SUV420H1,12.704898
9 pcw,caudal ganglionic eminence,SUV420H1,8.774056
9 pcw,orbital frontal cortex,SUV420H1,8.73895
9 pcw,parietal neocortex,SUV420H1,13.750461
12 pcw,hippocampus (hippocampal formation),SUV420H1,13.188402
12 pcw,dorsal thalamus,SUV420H1,19.326251
12 pcw,amygdaloid complex,SUV420H1,15.702335
12 pcw,primary auditory cortex (core),SUV420H1,19.683122
12 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,18.520597
12 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,19.41649
12 pcw,striatum,SUV420H1,15.301531
12 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,18.915935
12 pcw,dorsolateral prefrontal cortex,SUV420H1,20.83519
12 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,20.204036
12 pcw,ventrolateral prefrontal cortex,SUV420H1,19.794439
12 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,20.576979
12 pcw,posteroventral (inferior) parietal cortex,SUV420H1,20.606786
12 pcw,orbital frontal cortex,SUV420H1,20.056549
12 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,18.642303
12 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,17.397196
12 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,17.207905
12 pcw,primary auditory cortex (core),SUV420H1,20.940855
12 pcw,cerebellum,SUV420H1,22.72514
12 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,21.157286
12 pcw,posteroventral (inferior) parietal cortex,SUV420H1,19.475073
12 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,15.963764
12 pcw,dorsal thalamus,SUV420H1,14.344321
12 pcw,hippocampus (hippocampal formation),SUV420H1,15.534461
12 pcw,dorsolateral prefrontal cortex,SUV420H1,19.483377
12 pcw,orbital frontal cortex,SUV420H1,17.247646
12 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,16.822703
12 pcw,ventrolateral prefrontal cortex,SUV420H1,17.381761
12 pcw,amygdaloid complex,SUV420H1,17.976161
12 pcw,striatum,SUV420H1,16.64744
12 pcw,amygdaloid complex,SUV420H1,17.163099
12 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,19.687438
12 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,21.755248
12 pcw,ventrolateral prefrontal cortex,SUV420H1,15.471842
12 pcw,striatum,SUV420H1,19.810944
12 pcw,cerebellar cortex,SUV420H1,18.806653
12 pcw,dorsal thalamus,SUV420H1,14.791046
12 pcw,dorsolateral prefrontal cortex,SUV420H1,19.829335
12 pcw,orbital frontal cortex,SUV420H1,20.617056
12 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,17.258425
12 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,22.823965
12 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,20.757251
12 pcw,hippocampus (hippocampal formation),SUV420H1,17.981595
12 pcw,posteroventral (inferior) parietal cortex,SUV420H1,19.312801
12 pcw,primary auditory cortex (core),SUV420H1,21.723652
13 pcw,striatum,SUV420H1,22.286042
13 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,20.781619
13 pcw,amygdaloid complex,SUV420H1,18.921437
13 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,20.016412
13 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,20.482029
13 pcw,primary auditory cortex (core),SUV420H1,18.261897
13 pcw,hippocampus (hippocampal formation),SUV420H1,14.685224
13 pcw,ventrolateral prefrontal cortex,SUV420H1,18.308847
13 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,18.265822
13 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,20.470058
13 pcw,orbital frontal cortex,SUV420H1,19.374462
13 pcw,posteroventral (inferior) parietal cortex,SUV420H1,21.551376
13 pcw,dorsolateral prefrontal cortex,SUV420H1,19.442714
13 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,16.387963
13 pcw,striatum,SUV420H1,12.510635
13 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,16.033541
13 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,15.244139
13 pcw,amygdaloid complex,SUV420H1,13.035467
13 pcw,posteroventral (inferior) parietal cortex,SUV420H1,14.673843
13 pcw,cerebellum,SUV420H1,11.47253
13 pcw,dorsolateral prefrontal cortex,SUV420H1,15.768965
13 pcw,orbital frontal cortex,SUV420H1,14.439258
13 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,14.203242
13 pcw,primary auditory cortex (core),SUV420H1,12.645137
13 pcw,hippocampus (hippocampal formation),SUV420H1,13.158356
13 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,16.091091
13 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,15.580196
13 pcw,mediodorsal nucleus of thalamus,SUV420H1,9.824421
13 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,15.717765
13 pcw,ventrolateral prefrontal cortex,SUV420H1,14.301011
13 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,14.00391
13 pcw,dorsolateral prefrontal cortex,SUV420H1,13.997218
13 pcw,cerebellum,SUV420H1,13.290104
13 pcw,amygdaloid complex,SUV420H1,12.900298
13 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,15.35248
13 pcw,hippocampus (hippocampal formation),SUV420H1,11.875037
13 pcw,posteroventral (inferior) parietal cortex,SUV420H1,15.652847
13 pcw,primary auditory cortex (core),SUV420H1,14.115477
13 pcw,ventrolateral prefrontal cortex,SUV420H1,13.357404
13 pcw,striatum,SUV420H1,11.619331
13 pcw,orbital frontal cortex,SUV420H1,11.2521
13 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,11.157651
13 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,13.96587
13 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,14.012446
16 pcw,ventrolateral prefrontal cortex,SUV420H1,11.308489
16 pcw,orbital frontal cortex,SUV420H1,11.505793
16 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,13.6942
16 pcw,dorsolateral prefrontal cortex,SUV420H1,11.593413
16 pcw,posteroventral (inferior) parietal cortex,SUV420H1,13.737602
16 pcw,primary auditory cortex (core),SUV420H1,13.877897
16 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,10.473857
16 pcw,striatum,SUV420H1,17.879053
16 pcw,mediodorsal nucleus of thalamus,SUV420H1,11.012309
16 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,12.26961
16 pcw,ventrolateral prefrontal cortex,SUV420H1,14.568321
16 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,13.428168
16 pcw,posteroventral (inferior) parietal cortex,SUV420H1,16.588389
16 pcw,primary auditory cortex (core),SUV420H1,17.667636
16 pcw,mediodorsal nucleus of thalamus,SUV420H1,8.832022
16 pcw,amygdaloid complex,SUV420H1,13.762823
16 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,13.846844
16 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,14.31281
16 pcw,cerebellar cortex,SUV420H1,9.639364
16 pcw,hippocampus (hippocampal formation),SUV420H1,14.53664
16 pcw,striatum,SUV420H1,15.211297
16 pcw,orbital frontal cortex,SUV420H1,14.178696
16 pcw,dorsolateral prefrontal cortex,SUV420H1,14.367006
16 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,18.467989
16 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,13.573206
16 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,16.156023
16 pcw,hippocampus (hippocampal formation),SUV420H1,20.867405
16 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,16.363027
16 pcw,dorsolateral prefrontal cortex,SUV420H1,19.294809
16 pcw,posteroventral (inferior) parietal cortex,SUV420H1,14.738788
16 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,18.246362
16 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,17.690521
16 pcw,mediodorsal nucleus of thalamus,SUV420H1,12.665686
16 pcw,striatum,SUV420H1,21.517845
16 pcw,primary motor-sensory cortex (samples),SUV420H1,18.364502
16 pcw,primary auditory cortex (core),SUV420H1,18.749017
16 pcw,ventrolateral prefrontal cortex,SUV420H1,17.43719
16 pcw,amygdaloid complex,SUV420H1,20.828907
16 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,12.1137
17 pcw,striatum,SUV420H1,9.427579
17 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,14.052305
17 pcw,mediodorsal nucleus of thalamus,SUV420H1,9.546344
17 pcw,primary auditory cortex (core),SUV420H1,17.372146
17 pcw,hippocampus (hippocampal formation),SUV420H1,9.830366
17 pcw,dorsolateral prefrontal cortex,SUV420H1,12.891029
17 pcw,ventrolateral prefrontal cortex,SUV420H1,12.782779
17 pcw,posteroventral (inferior) parietal cortex,SUV420H1,18.820035
17 pcw,primary motor-sensory cortex (samples),SUV420H1,14.87092
17 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,15.267912
17 pcw,cerebellar cortex,SUV420H1,15.693729
17 pcw,orbital frontal cortex,SUV420H1,17.559276
17 pcw,amygdaloid complex,SUV420H1,18.468212
17 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,15.140175
19 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,9.38616
19 pcw,posteroventral (inferior) parietal cortex,SUV420H1,7.486834
19 pcw,primary motor-sensory cortex (samples),SUV420H1,8.255875
19 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,11.173364
19 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,7.677457
19 pcw,hippocampus (hippocampal formation),SUV420H1,9.718748
19 pcw,primary auditory cortex (core),SUV420H1,10.985853
19 pcw,mediodorsal nucleus of thalamus,SUV420H1,6.85468
19 pcw,ventrolateral prefrontal cortex,SUV420H1,12.406041
19 pcw,striatum,SUV420H1,12.206106
19 pcw,dorsolateral prefrontal cortex,SUV420H1,12.411283
21 pcw,cerebellar cortex,SUV420H1,14.199363
21 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,10.901995
21 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,13.094582
21 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,16.782529
21 pcw,striatum,SUV420H1,15.622323
21 pcw,hippocampus (hippocampal formation),SUV420H1,13.609873
21 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,15.853502
21 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,16.452345
21 pcw,amygdaloid complex,SUV420H1,16.83609
21 pcw,ventrolateral prefrontal cortex,SUV420H1,15.916465
21 pcw,orbital frontal cortex,SUV420H1,13.121616
21 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,18.156083
21 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,15.813039
21 pcw,cerebellar cortex,SUV420H1,14.578538
21 pcw,posteroventral (inferior) parietal cortex,SUV420H1,13.953919
21 pcw,dorsolateral prefrontal cortex,SUV420H1,13.823734
24 pcw,hippocampus (hippocampal formation),SUV420H1,10.512468
24 pcw,amygdaloid complex,SUV420H1,14.226665
24 pcw,dorsolateral prefrontal cortex,SUV420H1,14.013441
24 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",SUV420H1,12.894956
24 pcw,mediodorsal nucleus of thalamus,SUV420H1,6.119887
24 pcw,striatum,SUV420H1,12.925161
24 pcw,primary auditory cortex (core),SUV420H1,13.24514
24 pcw,posteroventral (inferior) parietal cortex,SUV420H1,14.583403
24 pcw,orbital frontal cortex,SUV420H1,14.211391
24 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,12.156819
24 pcw,"inferolateral temporal cortex (area TEv, area 20)",SUV420H1,15.680368
24 pcw,ventrolateral prefrontal cortex,SUV420H1,12.933967
24 pcw,"primary motor cortex (area M1, area 4)",SUV420H1,10.336389
24 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,SUV420H1,15.326872
24 pcw,cerebellar cortex,SUV420H1,11.014765
24 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,14.530466
25 pcw,primary auditory cortex (core),SUV420H1,6.454135
26 pcw,posterior (caudal) superior temporal cortex (area 22c),SUV420H1,17.981612
26 pcw,"primary visual cortex (striate cortex, area V1/17)",SUV420H1,5.083358
26 pcw,dorsolateral prefrontal cortex,SUV420H1,4.842025
35 pcw,cerebellar cortex,SUV420H1,9.967029
35 pcw,ventrolateral prefrontal cortex,SUV420H1,6.813214
37 pcw,primary auditory cortex (core),SUV420H1,6.397029
